"Date","SKEW","VIX_lag1","VIX_sq_lag1","RealizedVol_lag1","MarketReturn_lag1","Sentiment_lag1","PC_Ratio_lag1","VIX_Sentiment_Interaction_lag1","VIX_lag1_centered","Sentiment_lag1_centered","VIX_Sent_Interact_centered_lag1"
2011-02-24,124.68,22.13,489.7369,0.129155317080431,0.0127472629467151,0.3663,0.99,8.106219,5.84290069284065,0.0132300096997691,0.0773016328410691
2011-02-25,128.76,21.32,454.5424,0.129270988979043,0.0114890686549165,0.3663,1.29,7.809516,5.03290069284065,0.0132300096997691,0.0665853249842562
2011-02-28,129.37,19.22,369.4084,0.133285486894358,0.0177722324474239,0.3663,1.35,7.040286,2.93290069284065,0.0132300096997691,0.0388023046147412
2011-03-01,122.43,18.35,336.7225,0.134209534055072,0.0210761734041007,0.3663,1.79,6.721605,2.06290069284065,0.0132300096997691,0.0272921961759421
2011-03-02,123.06,21.01,441.4201,0.130528842492632,0.0232250717654789,0.3663,1.31,7.695963,4.72290069284065,0.0132300096997691,0.0624840219773278
2011-03-03,125.71,20.7,428.49,0.128383982103053,0.0172056538461227,0.3663,0.89,7.58241,4.41290069284065,0.0132300096997691,0.0583827189703994
2011-03-04,125.9,18.6,345.96,0.12919176117525,0.0177222514749085,0.3679,1.17,6.84294,2.31290069284065,0.0148300096997691,0.0343003397094294
2011-03-07,122.95,19.06,363.2836,0.13181131549844,0.0130431000596936,0.3679,0.94,7.012174,2.77290069284065,0.0148300096997691,0.0411221441713231
2011-03-08,123.37,20.66,426.8356,0.135231039800037,0.00231542612128255,0.3679,0.9,7.600814,4.37290069284065,0.0148300096997691,0.0648501596909536
2011-03-09,122.6,19.82,392.8324,0.138343408141411,0.00831853590292742,0.3679,1.29,7.291778,3.53290069284065,0.0148300096997691,0.0523929515431476
2011-03-10,119.26,20.22,408.8484,0.136806067902949,0.000735107476255159,0.3679,1.69,7.438938,3.93290069284065,0.0148300096997691,0.0583249554230552
2011-03-11,118.54,21.88,478.7344,0.150884446136398,-0.022492244836525,0.3597,0.87,7.870236,5.59290069284065,0.00663000969976907,0.0370809858433786
2011-03-14,121.52,20.08,403.2064,0.153306440213643,-0.0126470167604813,0.3597,1.46,7.222776,3.79290069284065,0.00663000969976907,0.0251469683837943
2011-03-15,121.82,21.13,446.4769,0.154364326612776,-0.0194639221525579,0.3597,1.02,7.600461,4.84290069284065,0.00663000969976907,0.0321084785685518
2011-03-16,122.46,24.32,591.4624,0.156483170019402,-0.0362196908787071,0.3597,0.91,8.747904,8.03290069284065,0.00663000969976907,0.0532582095108152
2011-03-17,125.85,29.4,864.36,0.167474595755554,-0.0582893238481672,0.3597,1.31,10.57518,13.1129006928406,0.00663000969976907,0.086938658785642
2011-03-18,126.81,26.37,695.3769,0.176467115666347,-0.0417398283713935,0.2849,1.05,7.512813,10.0829006928406,-0.068169990300231,-0.687351242429139
2011-03-21,124.59,24.44,597.3136,0.175450542444717,-0.0436846848543651,0.2849,1.25,6.962956,8.15290069284065,-0.068169990300231,-0.555783161149693
2011-03-22,120.83,20.61,424.7721,0.184364541454813,-0.0318731244832735,0.2849,1.11,5.871789,4.32290069284065,-0.068169990300231,-0.294692098299809
2011-03-23,120.75,20.21,408.4441,0.184052972957281,-0.0373529266805077,0.2849,0.76,5.757829,3.92290069284065,-0.068169990300231,-0.267424102179716
2011-03-24,119.97,19.17,367.4889,0.171130661355125,-0.013701046324738,0.2849,0.98,5.461533,2.88290069284065,-0.068169990300231,-0.196527312267476
2011-03-25,121.43,18,324,0.173240063661602,0.0017271293449852,0.3774,1.3,6.7932,1.71290069284065,0.0243300096997691,0.0416748904715541
2011-03-28,122.68,17.91,320.7681,0.17351143874363,0.00587810387489718,0.3774,1.16,6.759234,1.62290069284065,0.0243300096997691,0.0394851895985749
2011-03-29,124.11,19.44,377.9136,0.169711164485831,-0.00736865851090762,0.3774,1.21,7.336656,3.15290069284065,0.0243300096997691,0.0767101044392216
2011-03-30,123.5,18.16,329.7856,0.170440135781607,-0.00587912494166343,0.3774,1.37,6.853584,1.87290069284065,0.0243300096997691,0.0455676920235172
2011-03-31,124.64,17.71,313.6441,0.162148788423668,0.0166481361489712,0.3774,0.94,6.683754,1.42290069284065,0.0243300096997691,0.0346191876586211
2011-04-01,128.64,17.74,314.7076,0.162367983951614,0.0132030905110838,0.4181,1.52,7.417094,1.45290069284065,0.0650300096997691,0.0944821461482285
2011-04-04,128.05,17.4,302.76,0.151998616507489,0.00108133284797063,0.4181,1.45,7.27494,1.11290069284065,0.0650300096997691,0.072371942850307
2011-04-05,128.02,17.5,306.25,0.149559323774924,0.00883194262517684,0.4181,1.4,7.31675,1.21290069284065,0.0650300096997691,0.078874943820284
2011-04-06,125.18,17.25,297.5625,0.146141040119136,0.0170280643440579,0.4181,1.08,7.212225,0.962900692840648,0.0650300096997691,0.0626174413953417
2011-04-07,126.46,16.9,285.61,0.143292938915333,0.0103261296265611,0.4181,0.8,7.06589,0.612900692840647,0.0650300096997691,0.0398569380004225
2011-04-08,125.92,17.11,292.7521,0.143319825413244,0.0101676756757838,0.4359,1.3,7.458249,0.822900692840648,0.0828300096997691,0.0681608723699375
2011-04-11,122.94,17.87,319.3369,0.125901041663408,0.0252064212805232,0.4359,0.93,7.789533,1.58290069284065,0.0828300096997691,0.131111679741762
2011-04-12,121.94,16.59,275.2281,0.124748560498901,0.0153536648174972,0.4359,1.23,7.231581,0.302900692840648,0.0828300096997691,0.0250892673260577
